iter	Passed	Remaining
0	148	148327
1	151	75730
2	153	50930
3	154	38492
4	156	31142
5	159	26364
6	160	22803
7	162	20118
8	163	18026
9	165	16345
10	166	14963
11	167	13805
12	169	12837
13	173	12219
14	176	11610
15	178	10966
16	179	10393
17	181	9878
18	182	9430
19	184	9039
20	188	8791
21	189	8443
22	191	8126
23	192	7834
24	193	7562
25	195	7314
26	196	7094
27	198	6898
28	200	6704
29	201	6519
30	202	6344
31	204	6184
32	205	6031
33	207	5894
34	208	5757
35	210	5625
36	211	5500
37	212	5383
38	213	5272
39	215	5165
40	216	5067
41	217	4970
42	219	4882
43	220	4800
44	222	4718
45	223	4639
46	225	4563
47	226	4497
48	228	4430
49	229	4362
50	230	4294
51	232	4234
52	233	4172
53	234	4111
54	235	4052
55	237	3995
56	238	3949
57	240	3900
58	241	3849
59	242	3802
60	244	3758
61	245	3716
62	247	3674
63	248	3631
64	249	3592
65	251	3557
66	252	3518
67	254	3482
68	255	3445
69	256	3410
70	258	3376
71	259	3343
72	260	3309
73	261	3276
74	263	3247
75	264	3216
76	265	3185
77	267	3158
78	268	3132
79	270	3106
80	271	3083
81	273	3057
82	273	3026
83	275	3003
84	276	2979
85	278	2955
86	279	2929
87	280	2905
88	281	2883
89	282	2860
90	284	2837
91	285	2814
92	286	2792
93	287	2773
94	289	2753
95	290	2732
96	291	2711
97	292	2690
98	293	2673
99	295	2656
100	296	2638
101	297	2620
102	299	2604
103	300	2588
104	301	2571
105	302	2554
106	304	2538
107	305	2523
108	306	2507
109	308	2492
110	309	2476
111	310	2460
112	311	2447
113	312	2432
114	314	2417
115	315	2403
116	316	2387
117	317	2374
118	319	2362
119	320	2350
120	321	2337
121	322	2322
122	324	2310
123	325	2298
124	326	2285
125	327	2272
126	328	2258
127	329	2246
128	331	2235
129	332	2223
130	333	2211
131	334	2200
132	335	2189
133	337	2179
134	338	2168
135	339	2157
136	340	2146
137	342	2136
138	343	2126
139	344	2115
140	345	2105
141	346	2092
142	347	2082
143	349	2075
144	350	2066
145	351	2056
146	352	2046
147	354	2037
148	355	2029
149	356	2019
150	357	2010
151	358	2001
152	359	1991
153	361	1984
154	362	1977
155	364	1969
156	365	1961
157	366	1954
158	368	1946
159	369	1938
160	369	1928
161	371	1919
162	372	1911
163	373	1904
164	374	1896
165	375	1888
166	377	1880
167	378	1873
168	379	1866
169	380	1860
170	382	1852
171	383	1845
172	385	1840
173	386	1834
174	387	1828
175	389	1821
176	390	1816
177	392	1811
178	393	1804
179	394	1798
180	395	1791
181	397	1785
182	398	1779
183	399	1772
184	400	1765
185	401	1759
186	403	1753
187	404	1748
188	405	1742
189	407	1735
190	408	1729
191	409	1723
192	410	1718
193	412	1712
194	413	1706
195	414	1701
196	416	1695
197	417	1690
198	418	1684
199	423	1692
200	424	1687
201	425	1682
202	429	1685
203	430	1681
204	432	1678
205	451	1739
206	452	1734
207	459	1749
208	461	1744
209	462	1741
210	464	1736
211	465	1731
212	467	1726
213	468	1721
214	469	1715
215	471	1710
216	472	1704
217	474	1700
218	475	1695
219	476	1690
220	478	1685
221	479	1681
222	481	1677
223	482	1673
224	484	1667
225	485	1663
226	487	1658
227	488	1653
228	489	1648
229	491	1644
230	492	1640
231	494	1635
232	495	1631
233	497	1627
234	498	1623
235	499	1618
236	501	1614
237	502	1609
238	504	1606
239	505	1602
240	507	1597
241	508	1592
242	510	1590
243	511	1586
244	513	1581
245	514	1576
246	516	1573
247	517	1570
248	519	1565
249	520	1561
250	522	1560
251	524	1556
252	525	1551
253	526	1546
254	529	1546
255	531	1543
256	532	1539
257	533	1535
258	535	1531
259	536	1527
260	537	1523
261	539	1519
262	540	1515
263	542	1511
264	543	1508
265	545	1504
266	546	1501
267	548	1497
268	549	1493
269	550	1488
270	551	1484
271	553	1481
272	555	1478
273	556	1474
274	557	1470
275	559	1467
276	560	1463
277	562	1459
278	563	1455
279	564	1452
